Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.785398
0.000063	 0.785500 	 numero de thread:0
0.000126	 0.785601 	 numero de thread:0
0.000188	 0.785703 	 numero de thread:0
0.000251	 0.785805 	 numero de thread:0
0.000314	 0.785906 	 numero de thread:0
0.000377	 0.786008 	 numero de thread:0
0.000440	 0.786109 	 numero de thread:0
0.000503	 0.786211 	 numero de thread:0
0.000565	 0.786313 	 numero de thread:0
0.000628	 0.786414 	 numero de thread:0
0.000691	 0.786516 	 numero de thread:0
0.000754	 0.786618 	 numero de thread:0
0.000817	 0.786719 	 numero de thread:0
0.000880	 0.786821 	 numero de thread:0
0.000942	 0.786922 	 numero de thread:0
0.001005	 0.787024 	 numero de thread:0
0.001068	 0.787126 	 numero de thread:0
0.001131	 0.787227 	 numero de thread:0
0.001194	 0.787329 	 numero de thread:0
0.001257	 0.787431 	 numero de thread:0
0.001319	 0.787532 	 numero de thread:0
0.001382	 0.787634 	 numero de thread:0
0.001445	 0.787736 	 numero de thread:0
0.001508	 0.787837 	 numero de thread:0
0.001571	 0.787939 	 numero de thread:0
0.001634	 0.788041 	 numero de thread:0
0.001696	 0.788142 	 numero de thread:0
0.001759	 0.788244 	 numero de thread:0
0.001822	 0.788346 	 numero de thread:0
0.001885	 0.788448 	 numero de thread:0
0.001948	 0.788549 	 numero de thread:0
0.002011	 0.788651 	 numero de thread:0
0.002073	 0.788753 	 numero de thread:0
0.002136	 0.788854 	 numero de thread:0
0.002199	 0.788956 	 numero de thread:0
0.002262	 0.789058 	 numero de thread:0
0.002325	 0.789160 	 numero de thread:0
0.002388	 0.789261 	 numero de thread:0
0.002450	 0.789363 	 numero de thread:0
0.002513	 0.789465 	 numero de thread:0
0.002576	 0.789567 	 numero de thread:0
0.002639	 0.789668 	 numero de thread:0
0.002702	 0.789770 	 numero de thread:0
0.002765	 0.789872 	 numero de thread:0
0.002827	 0.789974 	 numero de thread:0
0.002890	 0.790075 	 numero de thread:0
0.002953	 0.790177 	 numero de thread:0
0.003016	 0.790279 	 numero de thread:0
0.003079	 0.790381 	 numero de thread:0
0.003142	 0.790482 	 numero de thread:0
0.003204	 0.790584 	 numero de thread:0
0.003267	 0.790686 	 numero de thread:0
0.003330	 0.790788 	 numero de thread:0
0.003393	 0.790890 	 numero de thread:0
0.003456	 0.790991 	 numero de thread:0
0.003519	 0.791093 	 numero de thread:0
0.003581	 0.791195 	 numero de thread:0
0.003644	 0.791297 	 numero de thread:0
0.003707	 0.791399 	 numero de thread:0
0.003770	 0.791500 	 numero de thread:0
0.003833	 0.791602 	 numero de thread:0
0.003896	 0.791704 	 numero de thread:0
0.003958	 0.791806 	 numero de thread:0
0.004021	 0.791908 	 numero de thread:0
0.004084	 0.792010 	 numero de thread:0
0.004147	 0.792111 	 numero de thread:0
