Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.785398
0.000063	 0.785461 	 numero de thread:3
0.000126	 0.785524 	 numero de thread:3
0.000188	 0.785587 	 numero de thread:3
0.000251	 0.785650 	 numero de thread:3
0.000314	 0.785712 	 numero de thread:3
0.000377	 0.785775 	 numero de thread:3
0.000440	 0.785838 	 numero de thread:3
0.000503	 0.785901 	 numero de thread:3
0.000565	 0.785964 	 numero de thread:3
0.000628	 0.786027 	 numero de thread:3
0.000691	 0.786090 	 numero de thread:3
0.000754	 0.786153 	 numero de thread:3
0.000817	 0.786216 	 numero de thread:3
0.000880	 0.786279 	 numero de thread:3
0.000942	 0.786342 	 numero de thread:3
0.001005	 0.786405 	 numero de thread:3
0.001068	 0.786468 	 numero de thread:3
0.001131	 0.786531 	 numero de thread:3
0.001194	 0.786594 	 numero de thread:3
0.001257	 0.786657 	 numero de thread:3
0.001319	 0.786720 	 numero de thread:3
0.001382	 0.786783 	 numero de thread:3
0.001445	 0.786846 	 numero de thread:3
0.001508	 0.786909 	 numero de thread:3
0.001571	 0.786972 	 numero de thread:3
0.001634	 0.787035 	 numero de thread:3
0.001696	 0.787098 	 numero de thread:3
0.001759	 0.787161 	 numero de thread:3
0.001822	 0.787224 	 numero de thread:3
0.001885	 0.787287 	 numero de thread:3
0.001948	 0.787350 	 numero de thread:3
0.002011	 0.787414 	 numero de thread:3
0.002073	 0.787477 	 numero de thread:3
0.002136	 0.787540 	 numero de thread:3
0.002199	 0.787603 	 numero de thread:3
0.002262	 0.787666 	 numero de thread:3
0.002325	 0.787729 	 numero de thread:3
0.002388	 0.787792 	 numero de thread:3
0.002450	 0.787856 	 numero de thread:3
0.002513	 0.787919 	 numero de thread:3
0.002576	 0.787982 	 numero de thread:3
0.002639	 0.788045 	 numero de thread:3
0.002702	 0.788109 	 numero de thread:3
0.002765	 0.788172 	 numero de thread:3
0.002827	 0.788235 	 numero de thread:3
0.002890	 0.788298 	 numero de thread:3
0.002953	 0.788362 	 numero de thread:3
0.003016	 0.788425 	 numero de thread:3
0.003079	 0.788488 	 numero de thread:3
0.003142	 0.788551 	 numero de thread:3
0.003204	 0.788615 	 numero de thread:3
0.003267	 0.788678 	 numero de thread:3
0.003330	 0.788741 	 numero de thread:3
0.003393	 0.788805 	 numero de thread:3
0.003456	 0.788868 	 numero de thread:3
0.003519	 0.788931 	 numero de thread:3
0.003581	 0.788995 	 numero de thread:3
0.003644	 0.789058 	 numero de thread:3
0.003707	 0.789121 	 numero de thread:3
0.003770	 0.789185 	 numero de thread:3
0.003833	 0.789248 	 numero de thread:3
0.003896	 0.789312 	 numero de thread:3
0.003958	 0.789375 	 numero de thread:3
0.004021	 0.789438 	 numero de thread:3
0.004084	 0.789502 	 numero de thread:3
0.004147	 0.789565 	 numero de thread:3
0.004210	 0.789629 	 numero de thread:3
